 ;Region;Anteil in Prozent der Beschäftigten mit Mindestlohn-anspruch;Beschäftigte mit Stundenlöhnen unter 12 Euro;Beschäftigte mit Mindestlohn-anspruch;;
5754;Gütersloh;18,7;37.864;203.014;;
5758;Herford;18,0;18.833;104.425;;
5762;Höxter;17,8;9.107;51.267;;
5766;Lippe;15,1;19.570;129.714;;
5770;Minden-Lübbecke;17,5;25.206;144.323;;
5774;Paderborn;17,2;24.070;139.539;;
5911;Bochum, Stadt;17,1;27.190;158.754;;
5913;Dortmund, Stadt;17,3;48.264;279.506;;
5914;Hagen, Stadt der FernUniversität;19,7;15.483;78.529;;
5915;Hamm, Stadt;20,6;14.513;70.433;;
5916;Herne, Stadt;17,2;9.110;52.838;;
5954;Ennepe-Ruhr-Kreis;15,2;18.645;122.915;;
5958;Hochsauerlandkreis;16,3;20.168;124.089;;
5962;Märkischer Kreis;17,7;31.784;179.773;;
5966;Olpe;17,1;11.478;67.266;;
5970;Siegen-Wittgenstein;12,9;17.005;131.609;;
5974;Soest;19,4;24.931;128.487;;
5978;Unna;20,2;30.189;149.315;;
6;Hessen;15,3;449.353;2.939.505;;
6411;Darmstadt, Wissenschaftsstadt;10,5;12.290;117.017;;
6412;Frankfurt am Main, Stadt;11,8;75.659;641.055;;
6413;Offenbach am Main, Stadt;19,8;10.529;53.237;;
6414;Wiesbaden, Landeshauptstadt;12,9;19.772;153.051;;
6431;Bergstraße;18,8;16.960;90.195;;
6432;Darmstadt-Dieburg;16,9;15.389;90.796;;
6433;Groß-Gerau;19,2;20.790;108.281;;
6434;Hochtaunuskreis;12,1;12.828;106.177;;
6435;Main-Kinzig-Kreis;18,7;29.347;156.531;;
6436;Main-Taunus-Kreis;12,0;13.976;116.478;;
6437;Odenwaldkreis;20,8;6.781;32.654;;
6438;Offenbach;17,8;25.780;144.514;;
6439;Rheingau-Taunus-Kreis;15,0;8.116;54.134;;
6440;Wetteraukreis;18,1;18.615;102.808;;
6531;Gießen;13,9;16.244;117.268;;
6532;Lahn-Dill-Kreis;15,6;16.887;107.945;;
6533;Limburg-Weilburg;19,5;12.462;63.859;;
6534;Marburg-Biedenkopf;13,5;14.377;106.615;;
6535;Vogelsbergkreis;15,5;5.890;37.914;;
6611;Kassel, documenta-Stadt;14,7;18.307;124.910;;
6631;Fulda;19,8;21.086;106.226;;
6632;Hersfeld-Rotenburg;25,3;13.586;53.772;;
6633;Kassel;16,6;14.039;84.729;;
6634;Schwalm-Eder-Kreis;16,9;11.130;65.750;;
6635;Waldeck-Frankenberg;17,7;12.577;70.916;;
6636;Werra-Meißner-Kreis;18,2;5.935;32.676;;
7;Rheinland-Pfalz;17,6;289.713;1.642.733;;
7111;Koblenz, kreisfreie Stadt;16,1;13.450;83.799;;
7131;Ahrweiler;18,1;7.624;42.057;;
7132;Altenkirchen (Westerwald);16,0;7.237;45.349;;
7133;Bad Kreuznach;17,9;10.994;61.545;;
7134;Birkenfeld;22,1;6.678;30.194;;
7135;Cochem-Zell;18,0;4.211;23.409;;
7137;Mayen-Koblenz;18,0;14.389;80.033;;
7138;Neuwied;17,1;12.236;71.654;;
7140;Rhein-Hunsrück-Kreis;20,4;8.950;43.798;;
7141;Rhein-Lahn-Kreis;16,6;6.328;38.065;;
7143;Westerwaldkreis;16,7;13.595;81.188;;
7211;Trier, kreisfreie Stadt;20,3;12.508;61.628;;
7231;Bernkastel-Wittlich;20,8;9.732;46.852;;
7232;Eifelkreis Bitburg-Prüm;17,9;5.902;32.920;;
7233;Vulkaneifel;16,7;3.905;23.327;;
7235;Trier-Saarburg;15,8;6.292;39.758;;
7311;Frankenthal (Pfalz), kreisfreie Stadt;17,5;3.622;20.674;;
7312;Kaiserslautern, kreisfreie Stadt;18,6;11.420;61.440;;
7313;Landau in der Pfalz, kreisfreie Stadt;23,9;6.642;27.821;;
7314;Ludwigshafen am Rhein, kreisfreie Stadt;13,1;14.411;109.738;;
7315;Mainz, kreisfreie Stadt;14,2;18.600;130.602;;
7316;Neustadt an der Weinstraße, kreisfreie Stadt;23,6;4.648;19.702;;
7317;Pirmasens, kreisfreie Stadt;19,2;4.262;22.184;;
7318;Speyer, kreisfreie Stadt;14,3;4.751;33.309;;
7319;Worms, kreisfreie Stadt;26,3;10.091;38.324;;
7320;Zweibrücken, kreisfreie Stadt;27,7;4.754;17.151;;
7331;Alzey-Worms;21,6;7.992;37.075;;
7332;Bad Dürkheim;17,9;6.875;38.325;;
7333;Donnersbergkreis;16,1;3.942;24.472;;
7334;Germersheim;13,3;6.802;51.179;;
7335;Kaiserslautern;20,8;6.255;30.076;;
7336;Kusel;22,0;3.301;14.994;;
7337;Südliche Weinstraße;17,8;6.693;37.498;;
7338;Rhein-Pfalz-Kreis;17,6;6.406;36.376;;
7339;Mainz-Bingen;14,6;9.859;67.668;;
7340;Südwestpfalz;23,5;4.355;18.547;;
8;Baden-Württemberg;14,0;739.102;5.268.819;;
8111;Stuttgart, Landeshauptstadt;10,3;46.968;455.115;;
8115;Böblingen;11,4;22.514;196.653;;
8116;Esslingen;13,8;33.361;241.317;;
8117;Göppingen;14,8;14.417;97.512;;
8118;Ludwigsburg;14,3;32.530;228.251;;
8119;Rems-Murr-Kreis;13,5;22.916;169.653;;
8121;Heilbronn, Universitätsstadt;17,6;14.211;80.610;;
8125;Heilbronn;12,8;20.421;159.223;;
8126;Hohenlohekreis;11,5;7.340;64.067;;
8127;Schwäbisch Hall;16,3;15.561;95.237;;
8128;Main-Tauber-Kreis;15,2;9.418;61.768;;
8135;Heidenheim;16,3;9.517;58.233;;
8136;Ostalbkreis;11,8;16.718;141.871;;
8211;Baden-Baden, Stadt;17,8;6.153;34.577;;
8212;Karlsruhe, Stadt;11,5;22.312;194.525;;
8215;Karlsruhe;19,6;35.626;181.587;;
8216;Rastatt;15,0;15.135;100.823;;
8221;Heidelberg, Stadt;11,8;12.230;103.240;;
8222;Mannheim, Universitätsstadt;15,1;31.035;205.803;;
8225;Neckar-Odenwald-Kreis;16,0;8.312;52.025;;
8226;Rhein-Neckar-Kreis;14,3;29.027;202.897;;
8231;Pforzheim, Stadt;18,1;11.502;63.443;;
8235;Calw;14,8;8.131;55.120;;
8236;Enzkreis;15,5;10.955;70.524;;
8237;Freudenstadt;19,1;10.279;53.708;;
8311;Freiburg im Breisgau, Stadt;11,4;16.661;146.311;;
8315;Breisgau-Hochschwarzwald;15,8;15.413;97.357;;
8316;Emmendingen;14,0;8.838;63.280;;
8317;Ortenaukreis;16,6;34.765;209.828;;
8325;Rottweil;16,0;10.200;63.794;;
8326;Schwarzwald-Baar-Kreis;17,4;17.020;97.618;;
8327;Tuttlingen;13,8;10.285;74.737;;
8335;Konstanz;16,6;20.007;120.397;;
8336;Lörrach;15,0;13.085;87.177;;
8337;Waldshut;17,4;10.792;62.177;;
8415;Reutlingen;13,2;16.836;128.016;;
8416;Tübingen;10,8;10.750;99.159;;
8417;Zollernalbkreis;14,9;11.789;79.057;;
8421;Ulm, Universitätsstadt;14,0;15.099;107.892;;
8425;Alb-Donau-Kreis;14,8;9.798;66.139;;
8426;Biberach;11,4;11.058;96.779;;
8435;Bodenseekreis;11,8;12.680;107.440;;
8436;Ravensburg;13,8;19.089;138.554;;
8437;Sigmaringen;15,1;8.346;55.323;;
9;Bayern;14,7;930.931;6.315.373;;
9161;Ingolstadt, Stadt;10,7;11.668;108.884;;
9162;München, Landeshauptstadt;11,1;107.628;971.234;;
9163;Rosenheim, Stadt;16,0;6.322;39.496;;
9171;Altötting;12,2;6.554;53.624;;
9172;Berchtesgadener Land;17,4;7.264;41.677;;
9173;Bad Tölz-Wolfratshausen;16,8;7.397;43.941;;
9174;Dachau;15,7;8.077;51.387;;
9175;Ebersberg;12,5;6.041;48.172;;
9176;Eichstätt;12,0;5.594;46.686;;
9177;Erding;20,0;10.046;50.208;;
9178;Freising;12,1;10.877;89.750;;
9179;Fürstenfeldbruck;13,7;8.466;61.987;;
9180;Garmisch-Partenkirchen;22,4;7.542;33.732;;
9181;Landsberg am Lech;12,8;5.727;44.667;;
9182;Miesbach;16,3;6.784;41.529;;
9183;Mühldorf a.Inn;17,0;8.173;48.205;;
9184;München;9,7;25.626;264.739;;
9185;Neuburg-Schrobenhausen;14,3;5.334;37.218;;
9186;Pfaffenhofen a.d.Ilm;15,6;7.747;49.779;;
9187;Rosenheim;15,1;14.737;97.806;;
9188;Starnberg;10,9;6.476;59.518;;
9189;Traunstein;13,5;10.620;78.812;;
9190;Weilheim-Schongau;10,8;6.328;58.330;;
9261;Landshut, Stadt;17,6;7.772;44.055;;
9262;Passau, Stadt;15,3;6.980;45.635;;
9263;Straubing, Stadt;18,9;6.328;33.394;;
9271;Deggendorf;16,0;8.998;56.181;;
9272;Freyung-Grafenau;16,4;5.068;30.822;;
9273;Kelheim;12,8;5.887;46.081;;
9274;Landshut;14,3;8.421;58.702;;
9275;Passau;20,5;14.471;70.673;;
9276;Regen;19,0;6.343;33.430;;
9277;Rottal-Inn;20,0;9.255;46.240;;
9278;Straubing-Bogen;21,7;6.805;31.351;;
9279;Dingolfing-Landau;12,9;7.334;56.770;;
9361;Amberg, Stadt;16,1;4.824;29.948;;
9362;Regensburg, Stadt;12,5;17.195;137.275;;
9363;Weiden i.d.OPf., Stadt;20,2;6.370;31.550;;
9371;Amberg-Sulzbach;13,0;4.340;33.341;;
9372;Cham;21,9;13.341;60.940;;
9373;Neumarkt i.d.OPf.;14,3;8.228;57.343;;
9374;Neustadt a.d.Waldnaab;17,4;6.150;35.330;;
9375;Regensburg;14,9;8.506;57.086;;
9376;Schwandorf;17,8;11.330;63.493;;
9377;Tirschenreuth;18,0;5.446;30.322;;
9461;Bamberg, Stadt;17,6;10.729;61.064;;
9462;Bayreuth, Stadt;14,3;7.451;52.146;;
9463;Coburg, Stadt;19,9;6.953;34.995;;
9464;Hof, Stadt;22,6;6.207;27.524;;
9471;Bamberg;16,1;7.300;45.315;;
9472;Bayreuth;18,6;5.237;28.129;;
9473;Coburg;23,8;7.488;31.486;;
9474;Forchheim;15,4;5.899;38.241;;
9475;Hof;20,1;7.726;38.449;;
9476;Kronach;21,2;5.863;27.715;;
9477;Kulmbach;14,7;4.543;30.811;;
9478;Lichtenfels;21,6;6.754;31.333;;
9479;Wunsiedel i.Fichtelgebirge;23,1;7.300;31.616;;
9561;Ansbach, Stadt;18,4;5.536;30.068;;
9562;Erlangen, Stadt;8,1;8.007;99.303;;
9563;Fürth, Stadt;17,5;9.481;54.062;;
9564;Nürnberg, Stadt;18,6;62.255;334.678;;
9565;Schwabach, Stadt;19,2;3.474;18.085;;
9571;Ansbach;17,1;11.976;69.852;;
9572;Erlangen-Höchstadt;12,4;7.056;56.883;;
9573;Fürth;21,3;6.153;28.847;;
9574;Nürnberger Land;14,4;9.046;62.779;;
9575;Neustadt a.d.Aisch-Bad Windsheim;18,3;7.020;38.408;;
9576;Roth;16,6;7.545;45.346;;
9577;Weißenburg-Gunzenhausen;15,4;5.573;36.302;;
9661;Aschaffenburg, Stadt;17,8;9.092;51.184;;
9662;Schweinfurt, Stadt;12,9;7.234;55.968;;
9663;Würzburg, Stadt;12,5;12.822;102.836;;
9671;Aschaffenburg;20,2;12.653;62.657;;
9672;Bad Kissingen;17,1;6.856;40.208;;
9673;Rhön-Grabfeld;14,7;5.349;36.436;;
9674;Haßberge;13,2;4.340;32.983;;
9675;Kitzingen;17,3;6.790;39.301;;
9676;Miltenberg;18,5;9.391;50.688;;
9677;Main-Spessart;12,5;6.639;53.226;;
9678;Schweinfurt;16,1;4.954;30.695;;
9679;Würzburg;14,4;6.745;46.695;;
9761;Augsburg, Stadt;14,5;23.454;162.220;;
9762;Kaufbeuren, Stadt;21,8;4.661;21.419;;
9763;Kempten (Allgäu), Stadt;14,4;6.011;41.816;;
9764;Memmingen, Stadt;14,3;4.679;32.711;;
9771;Aichach-Friedberg;13,4;5.772;43.165;;
9772;Augsburg;15,7;14.139;90.266;;
9773;Dillingen a.d.Donau;13,0;4.938;38.036;;
9774;Günzburg;14,3;8.660;60.436;;
9775;Neu-Ulm;13,9;10.109;72.537;;
9776;Lindau (Bodensee);14,6;5.222;35.836;;
9777;Ostallgäu;15,5;8.808;56.800;;
9778;Unterallgäu;12,1;7.207;59.559;;
9779;Donau-Ries;13,7;9.581;69.755;;
9780;Oberallgäu;18,7;11.837;63.159;;
10;Saarland;18,1;78.719;434.630;;
10041;Regionalverband Saarbrücken;19,4;33.397;171.820;;
10042;Merzig-Wadern;15,1;5.313;35.185;;
10043;Neunkirchen;19,6;8.838;45.056;;
10044;Saarlouis;16,7;13.018;78.049;;
10045;Saarpfalz-Kreis;17,2;12.553;72.780;;
10046;St. Wendel;17,6;5.600;31.741;;
11;Berlin, Stadt;17,8;304.634;1.707.052;;
12;Brandenburg;28,2;265.253;939.964;;
12051;Brandenburg an der Havel, Stadt;20,8;6.657;32.069;;
12052;Cottbus, Stadt;28,2;14.429;51.141;;
12053;Frankfurt (Oder), Stadt;31,9;9.844;30.897;;
12054;Potsdam, Stadt;18,6;17.576;94.339;;
12060;Barnim;27,2;15.386;56.525;;
12061;Dahme-Spreewald;29,7;20.270;68.320;;
12062;Elbe-Elster;32,9;11.677;35.489;;
12063;Havelland;31,7;16.005;50.508;;
12064;Märkisch-Oderland;27,5;15.685;57.097;;
12065;Oberhavel;23,6;15.320;64.790;;
12066;Oberspreewald-Lausitz;26,3;11.324;43.101;;
12067;Oder-Spree;26,9;16.890;62.828;;
12068;Ostprignitz-Ruppin;30,8;11.756;38.152;;
12069;Potsdam-Mittelmark;24,3;17.356;71.548;;
12070;Prignitz;31,7;9.424;29.764;;
12071;Spree-Neiße;30,1;11.713;38.972;;
12072;Teltow-Fläming;43,1;31.059;72.113;;
12073;Uckermark;30,4;12.882;42.310;;
13;Mecklenburg-Vorpommern;31,2;195.858;628.565;;
13003;Rostock, Hanse- und Universitätsstadt;24,2;24.435;101.178;;
13004;Schwerin, Landeshauptstadt;23,8;12.882;54.092;;
13071;Mecklenburgische Seenplatte;31,3;31.322;100.100;;
13072;Landkreis Rostock;33,1;24.898;75.155;;
13073;Vorpommern-Rügen;39,0;32.074;82.176;;
13074;Nordwestmecklenburg;26,3;13.852;52.656;;
13075;Vorpommern-Greifswald;34,8;31.455;90.324;;
13076;Ludwigslust-Parchim;34,2;24.940;72.884;;
14;Sachsen;28,4;496.417;1.746.658;;
14511;Chemnitz, Stadt;26,8;33.581;125.507;;
14521;Erzgebirgskreis;37,5;46.307;123.525;;
14522;Mittelsachsen;33,5;39.257;117.165;;
14523;Vogtlandkreis;37,1;32.373;87.363;;
14524;Zwickau;26,4;35.457;134.478;;
14612;Dresden, Stadt;20,6;59.968;290.970;;
14625;Bautzen;33,6;41.731;124.326;;
14626;Görlitz;33,9;31.993;94.331;;
14627;Meißen;29,6;28.244;95.289;;
14628;Sächsische Schweiz-Osterzgebirge;31,1;26.961;86.552;;
14713;Leipzig, Stadt;23,4;70.395;300.399;;
14729;Leipzig;31,2;26.701;85.632;;
14730;Nordsachsen;28,9;23.451;81.121;;
15;Sachsen-Anhalt;28,1;240.389;855.324;;
15001;Dessau-Roßlau, Stadt;27,8;9.747;35.035;;
15002;Halle (Saale), Stadt;23,2;24.807;106.844;;
15003;Magdeburg, Landeshauptstadt;24,4;28.610;117.317;;
15081;Altmarkkreis Salzwedel;36,5;10.683;29.279;;
15082;Anhalt-Bitterfeld;36,2;22.086;60.946;;
15083;Börde;25,0;16.712;66.773;;
15084;Burgenlandkreis;31,5;19.929;63.261;;
15085;Harz;30,9;23.859;77.336;;
15086;Jerichower Land;27,8;8.427;30.342;;
15087;Mansfeld-Südharz;29,5;12.934;43.878;;
15088;Saalekreis;24,7;18.401;74.595;;
15089;Salzlandkreis;29,0;19.168;66.013;;
15090;Stendal;27,8;10.511;37.845;;
15091;Wittenberg;31,7;14.516;45.859;;
16;Thüringen;30,8;264.401;858.149;;
16051;Erfurt, Stadt;28,9;34.581;119.661;;
16052;Gera, Stadt;35,6;14.154;39.806;;
16053;Jena, Stadt;15,5;9.826;63.430;;
16054;Suhl, Stadt;31,8;5.349;16.800;;
16055;Weimar, Stadt;21,0;5.712;27.176;;
16061;Eichsfeld;29,1;11.155;38.312;;
16062;Nordhausen;31,8;10.046;31.638;;
16063;Wartburgkreis;28,4;18.627;65.642;;
16064;Unstrut-Hainich-Kreis;36,8;14.151;38.477;;
16065;Kyffhäuserkreis;29,0;6.098;21.005;;
16066;Schmalkalden-Meiningen;38,3;18.277;47.713;;
16067;Gotha;32,8;17.621;53.672;;
16068;Sömmerda;33,8;8.436;24.926;;
16069;Hildburghausen;33,0;6.630;20.075;;
16070;Ilm-Kreis;27,5;11.535;41.958;;
16071;Weimarer Land;30,3;8.397;27.707;;
16072;Sonneberg;44,0;9.360;21.291;;
16073;Saalfeld-Rudolstadt;28,9;10.756;37.243;;
16074;Saale-Holzland-Kreis;37,2;10.729;28.878;;
16075;Saale-Orla-Kreis;40,0;12.508;31.260;;
16076;Greiz;31,9;10.067;31.523;;
16077;Altenburger Land;34,7;10.387;29.958;;
